,0
1656,-68.0
1657,-79.0
1658,-76.0
1659,-70.0
1660,-45.0
1661,-74.0
1662,-60.0
1663,-77.0
1664,-69.0
1665,-74.0
1666,-76.0
1667,-79.0
1668,-58.0
1669,-79.0
1670,-54.0
1671,-76.0
1672,-73.0
1673,-79.0
1674,-68.0
1675,-68.0
1676,-79.0
1677,-76.0
1678,-71.0
1679,-44.0
1680,-74.0
1681,-60.0
1682,-76.0
1683,-69.0
1684,-74.0
1685,-76.0
1686,-79.0
1687,-79.0
1688,-58.0
1689,-79.0
1690,-54.0
1691,-76.0
1692,-73.0
1693,-79.0
1694,-68.0
1695,-68.0
1696,-79.0
1697,-73.0
1698,-70.0
1699,-42.0
1700,-74.0
1701,-60.0
1702,-75.0
1703,-68.0
1704,-74.0
1705,-76.0
1706,-79.0
1707,-79.0
1708,-57.0
1709,-79.0
1710,-54.0
1711,-76.0
1712,-73.0
1713,-79.0
1714,-68.0
1715,-68.0
1716,-79.0
1717,-73.0
1718,-70.0
1719,-42.0
1720,-74.0
1721,-60.0
1722,-75.0
1723,-69.0
1724,-73.0
1725,-76.0
1726,-79.0
1727,-79.0
1728,-58.0
1729,-79.0
1730,-54.0
1731,-76.0
1732,-70.0
1733,-79.0
1734,-68.0
1735,-68.0
1736,-76.0
1737,-73.0
1738,-70.0
1739,-42.0
1740,-74.0
1741,-59.0
1742,-75.0
1743,-70.0
1744,-73.0
1745,-76.0
1746,-79.0
1747,-79.0
1748,-57.0
1749,-79.0
1750,-55.0
1751,-71.0
1752,-79.0
1753,-68.0
1754,-69.0
1755,-77.0
1756,-73.0
1757,-70.0
1758,-42.0
1759,-75.0
1760,-59.0
1761,-75.0
1762,-70.0
1763,-73.0
1764,-76.0
1765,-79.0
1766,-79.0
1767,-58.0
1768,-77.0
1769,-54.0
1770,-72.0
1771,-79.0
1772,-68.0
1773,-68.0
1774,-77.0
1775,-73.0
1776,-71.0
1777,-42.0
1778,-75.0
1779,-59.0
1780,-76.0
1781,-70.0
1782,-73.0
1783,-76.0
1784,-79.0
1785,-79.0
1786,-58.0
1787,-79.0
1788,-54.0
1789,-79.0
1790,-72.0
1791,-79.0
1792,-68.0
1793,-68.0
1794,-77.0
1795,-73.0
1796,-71.0
1797,-42.0
1798,-75.0
1799,-59.0
1800,-77.0
